OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,X,Y,GEOCODESTATUS,SHAPE,PERMITID
1,04092010018,ANGUS BARN,9401 GLENWOOD AVE ,,RALEIGH,NC,27628,(919) 781-2444,1991/05/03 00:00:00+00,1 - Restaurant,-78.76417626,35.89836431,M,,Not Provided
2,04092010037,AUBREY & PEEDIE'S GRILL,38 N MAIN ST ,,WENDELL,NC,27591,(919) 365-5528,1991/04/25 00:00:00+00,1 - Restaurant,-78.36945556,35.78246291,M,,Not Provided
3,04092010065,BISCUITVILLE,2426 WAKE FOREST RD,,RALEIGH,NC,27608-1710,(919) 821-2060,1991/04/29 00:00:00+00,1 - Restaurant,-78.62569015,35.81542941,M,,Not Provided
4,04092010069,BOJANGLES # 2,4405 FALLS OF NEUSE RD ,,RALEIGH,NC,27609-6201,(919) 876-7363,1991/05/02 00:00:00+00,1 - Restaurant,-78.61244606,35.84129524,M,,Not Provided
5,04092010070,BOJANGLES # 3,1013 NEW BERN AVE ,,RALEIGH,NC,27601-1605,(919) 821-3735,1991/04/25 00:00:00+00,1 - Restaurant,-78.62298982,35.78024775,M,,Not Provided
6,04092010072,BOJANGLES #11,7525 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-9274,(919) 266-2768,1991/05/01 00:00:00+00,1 - Restaurant,-78.47567193,35.79946349,M,,Not Provided
7,04092010073,BOJANGLES #12,3808 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 664-8613,1991/03/18 00:00:00+00,1 - Restaurant,-78.68874338,35.7852001,M,,Not Provided
8,04092010093,BUFFALOE LANES,6701 FAYETTEVILLE RD,,RALEIGH,NC,27603-4829,(919) 779-1888,1991/04/02 00:00:00+00,1 - Restaurant,-78.68338522,35.6849577,M,,Not Provided
9,04092010076,THE BORDER RESTAURANT,712 N MAIN ST,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 00:00:00+00,1 - Restaurant,-78.50484966,35.98936312,M,,Not Provided
10,04092010133,CASA CARBONE,6019-A GLENWOOD AVE ,,RALEIGH,NC,27612,(919) 781-8750,1991/05/03 00:00:00+00,1 - Restaurant,-78.70153994,35.85400324,M,,Not Provided
11,04092010094,BUFFALOE LANES NORTH FOODSERVICE,5900 OAK FOREST DR,,RALEIGH,NC,27616-2903,(919) 876-5681,1991/05/02 00:00:00+00,1 - Restaurant,-78.5885334,35.86304848,M,,Not Provided
12,04092010167,CLOOS CONEY ISLAND,2233-102 AVENT FERRY RD ,,RALEIGH,NC,27606-2138,(919) 834-3354,1991/04/19 00:00:00+00,1 - Restaurant,-78.67605304,35.77835842,M,,Not Provided
13,04092010138,CHAR-GRILL,3211 EDWARDS MILL RD ,,RALEIGH,NC,27612-5367,(919) 781-2945,1991/05/06 00:00:00+00,1 - Restaurant,-78.70580387,35.82555466,M,,Not Provided
14,04092010174,MARRIOTT COURTYARD CRABTREE RESTAURANT,3908 ARROW DR ,,RALEIGH,NC,27612-4657,(919) 782-6868,1991/05/06 00:00:00+00,1 - Restaurant,-78.67369538,35.834925,M,,Not Provided
15,04092010189,NORTH RALEIGH COURTYARD BY MARRIOTT,1041 WAKE TOWNE DR ,,RALEIGH,NC,27609-7850,(919) 821-3400,1991/04/29 00:00:00+00,1 - Restaurant,-78.62297698,35.82408017,M,,Not Provided
16,04092010190,THE BISTRO AT COURTYARD BY MARRIOTT,102 EDINBURGH SOUTH DR ,,CARY,NC,27511,(919) 481-9666,1991/05/03 00:00:00+00,1 - Restaurant,-78.79973652,35.73823794,M,,Not Provided
17,04092010237,EL DORADO MEXICAN RESTAURANT,2811 BRENTWOOD RD,,RALEIGH,NC,27604-3225,(919) 872-8440,1991/05/02 00:00:00+00,1 - Restaurant,-78.5961504,35.81728333,M,,Not Provided
18,04092010218,DENNY'S RESTAURANT,3215 WAKE FOREST RD ,,RALEIGH,NC,27609-7446,(919) 876-9556,1991/04/05 00:00:00+00,1 - Restaurant,-78.62096506,35.82707549,M,,Not Provided
19,04092010262,FIRST BAPTIST CHURCH,99 N SALISBURY ST ,,RALEIGH,NC,27603-1737,(919) 961-5953,1991/04/25 00:00:00+00,1 - Restaurant,-78.64073856,35.78096884,M,,Not Provided
20,04092010264,FIRST PRESBYTERIAN CHURCH,120 W HARGETT ST,,RALEIGH,NC,27601-1344,(919) 832-9929,1991/04/02 00:00:00+00,1 - Restaurant,-78.64072906,35.77902559,M,,Not Provided
21,04092010274,FRANKS PIZZA RESTAURANT,2030 NEW BERN AVE ,,RALEIGH,NC,27610-2429,(919) 231-8990,1991/04/25 00:00:00+00,1 - Restaurant,-78.60562466,35.77870975,M,,Not Provided
22,04092010286,GLAXO ZEBULON FOODSERVICE,1011 N ARENDELL AVE ,,ZEBULON,NC,27597,(919) 269-1161,1991/08/23 00:00:00+00,1 - Restaurant,-78.32836965,35.83183757,M,,Not Provided
23,04092010350,HARRIS TEETER #289 DELI ,2603 GLENWOOD AVE ,,RALEIGH,NC,27608-1044,(919) 787-5526,1991/03/18 00:00:00+00,1 - Restaurant,-78.66059971,35.81550158,M,,Not Provided
24,04092010287,GLENWOOD GRILL,2603-151 GLENWOOD AVE ,,RALEIGH,NC,27608,(919) 782-3102,1991/03/18 00:00:00+00,1 - Restaurant,-78.66059971,35.81550158,M,,Not Provided
25,04092010485,MECCA RESTAURANT,13 E MARTIN ST ,,RALEIGH,NC,27601-1841,(919) 832-5714,1991/04/02 00:00:00+00,1 - Restaurant,-78.6386433,35.77709034,M,,Not Provided
26,04092010405,KANKI JAPANESE HOUSE OF STEAKS,4500 OLD WAKE FOREST RD ,,RALEIGH,NC,27609-6235,(919) 876-4157,1991/05/08 00:00:00+00,1 - Restaurant,-78.60995698,35.8419524,M,,Not Provided
27,04092010490,MEREDITH COLLEGE DINING HALL,3800 HILLSBOROUGH ST ,,RALEIGH,NC,27607-5237,(919) 760-8377,1991/03/19 00:00:00+00,1 - Restaurant,-78.68916129,35.79996792,M,,Not Provided
28,04092010548,WILLIAM PEACE UNIVERSITY CAFETERIA,15 E PEACE ST ,,RALEIGH,NC,27604-1176,(919) 508-2342,1991/04/29 00:00:00+00,1 - Restaurant,-78.63745155,35.78928458,M,,Not Provided
29,04092010495,MILTON'S PIZZA HOUSE,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 00:00:00+00,1 - Restaurant,-78.65461063,35.89932731,M,,Not Provided
30,04092010549,THE PEDDLER STEAK HOUSE,6005 GLENWOOD AVE ,,RALEIGH,NC,27612-2636,(919) 787-6980,1991/05/13 00:00:00+00,1 - Restaurant,-78.70153994,35.85400324,M,,Not Provided
31,04092010556,PICCOLA ITALIA,423 WOODBURN RD,,RALEIGH,NC,27605-1323,(919) 833-6888,1991/03/19 00:00:00+00,1 - Restaurant,-78.6602578,35.78996917,M,,Not Provided
32,04092010585,PLAYERS RETREAT,105 OBERLIN RD,,RALEIGH,NC,27605-1648,(919) 755-9589,1991/03/19 00:00:00+00,1 - Restaurant,-78.66152339,35.78621542,M,,Not Provided
33,04092010593,ADVENTURE LANDING,3311 CAPITAL BLVD ,,RALEIGH,NC,27604-3339,(919) 872-1688,1991/05/02 00:00:00+00,1 - Restaurant,-78.58785441,35.82525799,M,,Not Provided
34,04092010617,REX HOSPITAL CAFETERIA,4420 LAKE BOONE TRL ,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 00:00:00+00,1 - Restaurant,-78.70241812,35.81817357,M,,Not Provided
35,04092010618,ROAST GRILL,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991/04/22 00:00:00+00,1 - Restaurant,-78.64564339,35.78023101,M,,Not Provided
36,04092010648,SHAW UNIVERSITY CAFETERIA,118 E SOUTH ST ,,RALEIGH,NC,27601-2341,(919) 899-6598,1991/04/03 00:00:00+00,1 - Restaurant,-78.63776722,35.77078109,M,,Not Provided
37,04092010658,SHORTYS,214 S WHITE ST ,,WAKE FOREST,NC,27587,(919) 556-8026,1991/04/29 00:00:00+00,1 - Restaurant,-78.51012825,35.9776018,M,,Not Provided
38,04092010661,SIDE STREET RESTAURANT,225 N BLOODWORTH ST ,,RALEIGH,NC,27601-1105,(919) 828-4927,1991/04/29 00:00:00+00,1 - Restaurant,-78.63331248,35.78351542,M,,Not Provided
39,04092010682,SOUTHEASTERN FREEWILL BAPT.COLLEGE CAFETERIA,532 EAGLE ROCK RD ,,WENDELL,NC,27591-9072,(919) 365-7711,1991/05/02 00:00:00+00,1 - Restaurant,-78.41589146,35.79770891,M,,Not Provided
40,04092010686,SAINT MARY'S SCHOOL DINING AND ALDERT'S CORNER MAR,900 HILLSBOROUGH ST ,,RALEIGH,NC,27603-1610,(919) 424-4093,1991/03/19 00:00:00+00,1 - Restaurant,-78.65261196,35.78272392,M,,Not Provided
41,04092010688,STATE HWY BUILDING LUNCHENETTE,1 S WILMINGTON ST ,,RALEIGH,NC,27601,(919) 733-7280,1991/04/03 00:00:00+00,1 - Restaurant,-78.63730739,35.77991508,M,,Not Provided
42,04092010775,UPPER DECK,329 N HARRISON AVE,,CARY,NC,27513-4560,(919) 460-1786,1991/05/06 00:00:00+00,1 - Restaurant,-78.78373893,35.78994983,M,,Not Provided
43,04092010708,SUBWAY,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 00:00:00+00,1 - Restaurant,-78.70472779,35.86043849,M,,Not Provided
44,04092010815,WILDWOOD GREEN SNACK BAR,3000 BALLYBUNION WAY ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 00:00:00+00,1 - Restaurant,-78.68572854,35.91006573,M,,Not Provided
45,04092010795,WATKINS GRILL,1625 WAKE FOREST RD,,RALEIGH,NC,27604-1332,(919) 834-0467,1991/05/01 00:00:00+00,1 - Restaurant,-78.62518839,35.80177809,M,,Not Provided
46,04092010851,PARKSIDE,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991/07/10 00:00:00+00,1 - Restaurant,-78.6437939,35.77679368,M,,Not Provided
47,04092010827,WINSTON'S GRILLE,6401 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6812,(919) 790-0700,1991/05/08 00:00:00+00,1 - Restaurant,-78.62162989,35.86964481,M,,Not Provided
48,04092010872,WAKE MED KITCHEN,3000 NEW BERN AVE,,RALEIGH,NC,27610-1231,(919) 350-8042,1992/02/12 00:00:00+00,1 - Restaurant,-78.58795523,35.78389509,M,,Not Provided
49,04092010870,TAYLOR'S CONVENIENCE STORE,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992/01/17 00:00:00+00,1 - Restaurant,-78.65046954,35.91578847,M,,Not Provided
50,04092010975,CUP A JOE,3100 HILLSBOROUGH ST,,RALEIGH,NC,27607-5437,(919) 828-9665,1991/10/23 00:00:00+00,1 - Restaurant,-78.67755529,35.79005017,M,,Not Provided
51,04092010989,LOS TRES MAGUEYES,110 SW MAYNARD RD ,,CARY,NC,27511-4402,(919) 460-8757,1992/01/16 00:00:00+00,1 - Restaurant,-78.78312327,35.77217526,M,,Not Provided
52,04092011046,CHILIS BAR AND GRILL,6324 GLENWOOD AVE ,,RALEIGH,NC,27612-2618,(919) 571-3600,1992/06/05 00:00:00+00,1 - Restaurant,-78.70465562,35.85833232,M,,Not Provided
53,04092011060,OLIVE GARDEN,1809 WALNUT ST ,,CARY,NC,27511-9201,(919) 233-9714,1992/03/26 00:00:00+00,1 - Restaurant,-78.74263886,35.76053784,M,,Not Provided
